"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-06","Canada","2016A000011124","Employment","Both sexes","15 years and over","Persons","249","thousands","3","v2091072","1.3.1.1","19159.5","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","15 years and over","Persons","249","thousands","3","v2091072","1.3.1.1","19143.9","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","15 years and over","Persons","249","thousands","3","v2091072","1.3.1.1","19180.9","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","15 years and over","Persons","249","thousands","3","v2091072","1.3.1.1","19215.2","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","15 years and over","Persons","249","thousands","3","v2091072","1.3.1.1","19224.9","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","15 to 24 years","Persons","249","thousands","3","v2091073","1.3.1.2","2686.3","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","15 to 24 years","Persons","249","thousands","3","v2091073","1.3.1.2","2886.2","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","15 to 24 years","Persons","249","thousands","3","v2091073","1.3.1.2","2854.7","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","15 to 24 years","Persons","249","thousands","3","v2091073","1.3.1.2","2482.2","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","15 to 24 years","Persons","249","thousands","3","v2091073","1.3.1.2","2490.9","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","16473.2","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","16257.7","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","16326.2","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","16732.9","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","16733.9","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","25 to 44 years","Persons","249","thousands","3","v2091075","1.3.1.4","8394.8","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","25 to 44 years","Persons","249","thousands","3","v2091075","1.3.1.4","8329.9","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","25 to 44 years","Persons","249","thousands","3","v2091075","1.3.1.4","8362.9","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","25 to 44 years","Persons","249","thousands","3","v2091075","1.3.1.4","8584.9","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","25 to 44 years","Persons","249","thousands","3","v2091075","1.3.1.4","8610.3","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","45 to 64 years","Persons","249","thousands","3","v19650588","1.3.1.22","7186.5","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","45 to 64 years","Persons","249","thousands","3","v19650588","1.3.1.22","7067.6","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","45 to 64 years","Persons","249","thousands","3","v19650588","1.3.1.22","7105.2","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","45 to 64 years","Persons","249","thousands","3","v19650588","1.3.1.22","7263.9","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","45 to 64 years","Persons","249","thousands","3","v19650588","1.3.1.22","7244.4","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","45 years and over","Persons","249","thousands","3","v2091076","1.3.1.5","8078.5","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","45 years and over","Persons","249","thousands","3","v2091076","1.3.1.5","7927.9","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","45 years and over","Persons","249","thousands","3","v2091076","1.3.1.5","7963.3","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","45 years and over","Persons","249","thousands","3","v2091076","1.3.1.5","8148.0","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","45 years and over","Persons","249","thousands","3","v2091076","1.3.1.5","8123.6","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","25 to 54 years","Persons","249","thousands","3","v2091077","1.3.1.6","12288.1","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","25 to 54 years","Persons","249","thousands","3","v2091077","1.3.1.6","12168.8","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","25 to 54 years","Persons","249","thousands","3","v2091077","1.3.1.6","12210.3","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","25 to 54 years","Persons","249","thousands","3","v2091077","1.3.1.6","12517.7","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","25 to 54 years","Persons","249","thousands","3","v2091077","1.3.1.6","12545.2","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","55 years and over","Persons","249","thousands","3","v2091078","1.3.1.7","4185.2","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","55 years and over","Persons","249","thousands","3","v2091078","1.3.1.7","4088.9","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","55 years and over","Persons","249","thousands","3","v2091078","1.3.1.7","4115.9","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","55 years and over","Persons","249","thousands","3","v2091078","1.3.1.7","4215.2","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","55 years and over","Persons","249","thousands","3","v2091078","1.3.1.7","4188.7","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","15 to 64 years","Persons","249","thousands","3","v2091079","1.3.1.8","18267.5","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","15 to 64 years","Persons","249","thousands","3","v2091079","1.3.1.8","18283.6","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","15 to 64 years","Persons","249","thousands","3","v2091079","1.3.1.8","18322.8","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","15 to 64 years","Persons","249","thousands","3","v2091079","1.3.1.8","18331.1","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","15 to 64 years","Persons","249","thousands","3","v2091079","1.3.1.8","18345.6","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","15 to 19 years","Persons","249","thousands","3","v2091080","1.3.1.9","951.1","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","15 to 19 years","Persons","249","thousands","3","v2091080","1.3.1.9","1113.2","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","15 to 19 years","Persons","249","thousands","3","v2091080","1.3.1.9","1088.6","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","15 to 19 years","Persons","249","thousands","3","v2091080","1.3.1.9","874.8","","","","1"
